"","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","lambda_n","lambda_w","log_kappa","log_kappa","log_kappa","log_kappa","log_tau","log_tau","log_tau","log_tau","log_sigma"
"lambda_n",-0.192422936358807,-0.198752340752282,-0.192700126027532,-0.198268011617847,-0.187855171233113,-0.19749979231606,-0.193306897299831,-0.191361269953581,-0.19074422088349,-0.192134240525516,0.0919972552395805,0.0951787783668526,0.0919094031373604,0.0948996599750914,0.0893408088635824,0.0946868902460088,0.092577528992895,0.0911459829112239,0.0905869577113847,0.0920263060741223,1,-0.677196076984734,-0.00331892573204327,-0.0102702072786679,7.62359255654435e-06,-1.30169095783012e-06,-0.0298927211769565,0.0120044592542566,3.0349984503423e-05,-2.91241577511947e-05,-0.00117012002575227
"lambda_w",0.124570754341942,0.129045930309233,0.124786976257741,0.128566635528906,0.121836616070804,0.128578349062933,0.125330573220049,0.124534830171522,0.123520853832314,0.124943333768162,-0.144745951603677,-0.147412604665092,-0.144504364380483,-0.14684445936161,-0.143974717913313,-0.147399967608202,-0.145211603547465,-0.145362154583703,-0.14440253215986,-0.14554515366522,-0.677196076984734,1,0.000606835000601844,0.00860829190891183,-6.57042083600347e-06,1.6794374767305e-06,0.0246674370520949,-0.00872980123652343,-2.53618604403418e-05,3.78290660785545e-05,0.00129593523769314
"log_kappa",0.0183528748785853,0.0161226939208906,0.0124244060000471,0.0143044392456299,0.0153048522497885,0.0123957644973933,0.015979492963511,0.0124396185315235,0.0181406413306573,0.0163212730551742,0.0035487770031666,0.00423136136373172,0.00617680703375978,0.0051806545389169,0.00452210843008772,0.00522919820707037,0.00404970294178544,0.00573892049188022,0.00279260740755452,0.00417755693235314,-0.00331892573204326,0.000606835000601848,1,-0.0192336043957452,-1.03839088291379e-06,-1.15803288230815e-06,-0.730668941073023,0.0701395329013529,4.44290279716771e-06,-7.30124012734051e-07,-0.012480987825024
"log_kappa",-1.22114150662512e-05,-0.000568222150269322,-0.00104450672189921,0.00036213707939508,0.000752578254134923,0.000767240281015267,0.0014969783516564,0.000115581798022091,-0.00100102994222445,-0.000210557117525919,0.00760007507226302,0.00681509595980335,0.00775008979924942,0.00634273849624948,0.00627627000771069,0.00578646947572925,0.00599174005997495,0.00593570462959358,0.00696484727554032,0.00722080160537352,-0.0102702072786679,0.00860829190891184,-0.0192336043957452,1,-1.36514806908322e-06,-5.55617934941118e-07,0.0416493556071194,-0.661421823817591,2.62149586732923e-06,1.92757184816246e-08,-0.0162409106263539
"log_kappa",-1.95714655302433e-05,-2.01738276330005e-05,-1.96860299518108e-05,-2.00988757252037e-05,-1.99167008343677e-05,-2.00930239472725e-05,-2.09065214199975e-05,-2.02077692902029e-05,-2.0238741468791e-05,-2.02955121927727e-05,1.23684153598346e-05,1.27239652453656e-05,1.24808142100907e-05,1.26589517786776e-05,1.2593970711704e-05,1.26857019738844e-05,1.31310172022493e-05,1.27525822156978e-05,1.27965821052873e-05,1.28526313839722e-05,7.62359254102896e-06,-6.5704208393959e-06,-1.03839088145711e-06,-1.36514806794768e-06,1,0.00534899221397056,-1.57018740118589e-07,-1.74129315732511e-08,-0.999999714586253,-0.00534903709690924,-1.92963872449603e-07
"log_kappa",3.35478797022536e-06,3.42811345554521e-06,3.3043809468387e-06,3.35662548243905e-06,3.3895986168522e-06,3.41902323195498e-06,3.57809700085843e-06,3.4276193931455e-06,3.41063018210659e-06,3.49307516123607e-06,-3.49512378286144e-06,-3.54547876897039e-06,-3.4571991052604e-06,-3.48035919460832e-06,-3.52394707062002e-06,-3.54180202432398e-06,-3.61795177123879e-06,-3.55266280151783e-06,-3.53126007727373e-06,-3.59074927754768e-06,-1.30169094308323e-06,1.67943746250521e-06,-1.15803288565787e-06,-5.55617941174232e-07,0.00534899221397062,1,1.17631242776822e-06,3.80776758022259e-07,-0.00534900429826641,-0.999999676700015,3.20815467103123e-07
"log_tau",-0.0126606093237881,-0.00544477242361754,-0.00372122536479558,-0.00352937884806183,-0.00553478861909331,0.000499803414019808,-0.00584160250008231,-0.00355203129507405,-0.00783096046841089,-0.00741765920088518,0.00220717039618847,-0.00106691076723995,-0.00183030848778046,-0.00216406817223803,-0.000990608498031131,-0.00272451252551537,-0.000560706616310411,-0.0015670360649697,0.000794306289718378,-0.000175156005499066,-0.0298927211769566,0.0246674370520949,-0.730668941073022,0.0416493556071194,-1.57018738347627e-07,1.17631242527811e-06,1,-0.129552234263862,-3.74611782107311e-06,2.39821455129271e-06,0.0171224997262544
"log_tau",-0.00141153568859416,-0.0031166350510977,-0.00415588176206468,-0.00319047775384502,-0.00334850271469692,-0.00598984507919858,-0.00566877973172629,-0.00387096050399114,0.00013286096018429,-0.00361031899300103,-0.00388962086211431,-0.00176845932548463,-0.00112261453543598,-0.00121899476940552,-0.00280898489949379,0.000137760380087635,0.000336769435385646,-0.0007841240536689,-0.0029980915436086,-0.00109564079329705,0.0120044592542566,-0.00872980123652345,0.0701395329013528,-0.661421823817591,-1.74129309179502e-08,3.80776753979933e-07,-0.129552234263862,1,-4.77836335192331e-06,5.86594925760641e-06,0.0341057394427889
"log_tau",-8.24428673032576e-05,-8.4844447189315e-05,-8.28181162235201e-05,-8.45688216338336e-05,-8.34509697649979e-05,-8.44010256252107e-05,-8.81022632294928e-05,-8.44706982522185e-05,-8.48096740073236e-05,-8.51169115558643e-05,5.08635072390828e-05,5.22005152456368e-05,5.12508074965746e-05,5.19545386905697e-05,5.14724820981486e-05,5.19776463816058e-05,5.40798026321962e-05,5.19680974218141e-05,5.22984899153659e-05,5.25835280504325e-05,3.0349984513852e-05,-2.53618604320808e-05,4.44290279602568e-06,2.62149586699839e-06,-0.999999714586253,-0.00534900429826637,-3.74611781930215e-06,-4.77836335126801e-06,1,0.00534884134708694,-1.5705682804919e-06
"log_tau",7.79845392435252e-05,8.03094217306073e-05,7.86085694439246e-05,7.99606241110411e-05,7.90745860299852e-05,7.99506721283852e-05,8.30242433029459e-05,8.00893318446753e-05,8.05132253125575e-05,8.0599281250628e-05,-6.86390184996623e-05,-7.0280564326894e-05,-6.89367401493614e-05,-6.96836515011442e-05,-6.94055254370039e-05,-6.99311490595491e-05,-7.1583954391116e-05,-6.99692053232001e-05,-7.02570620357095e-05,-7.06965890519178e-05,-2.91241577626275e-05,3.78290660879851e-05,-7.30124009634557e-07,1.92757227486217e-08,-0.00534903709690926,-0.999999676700015,2.3982145488026e-06,5.86594925356408e-06,0.00534884134708693,1,2.09816910370999e-06
"log_sigma",0.000867032617166705,0.000414557074999217,-0.000914622855476382,0.000509003451365497,0.00124145423074939,0.00101707253931797,0.00103990544666485,-0.000521711806993067,-0.000820934433493722,0.00105126116972331,0.0348350339974398,0.0352809499763824,0.036040755078454,0.0352969941833437,0.0346146964087145,0.0350408044596465,0.0349647045323835,0.0358759185928297,0.0360537847528598,0.0349082315310176,-0.00117012002575232,0.00129593523769317,-0.012480987825024,-0.0162409106263539,-1.92963873454576e-07,3.20815466258879e-07,0.0171224997262544,0.0341057394427889,-1.57056827948696e-06,2.09816910455426e-06,1
